symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2016-02-26 00:00:00+00:00,190.34,192.0,185.0,188.7,6065117,190.34,192.0,185.0,188.7,6065117,0.0,1.0
TSLA,2016-02-29 00:00:00+00:00,191.93,196.35,189.222,192.4,4498997,191.93,196.35,189.222,192.4,4498997,0.0,1.0
TSLA,2016-03-01 00:00:00+00:00,186.35,195.9484,182.7,194.25,6712159,186.35,195.9484,182.7,194.25,6712159,0.0,1.0
TSLA,2016-03-02 00:00:00+00:00,188.34,188.52,181.5,183.73,4862396,188.34,188.52,181.5,183.73,4862396,0.0,1.0
TSLA,2016-03-03 00:00:00+00:00,195.74,197.42,184.22,188.28,4829018,195.74,197.42,184.22,188.28,4829018,0.0,1.0
TSLA,2016-03-04 00:00:00+00:00,201.04,204.03,197.5001,198.0,6489058,201.04,204.03,197.5001,198.0,6489058,0.0,1.0
TSLA,2016-03-07 00:00:00+00:00,205.29,209.7,197.4,197.68,5337072,205.29,209.7,197.4,197.68,5337072,0.0,1.0
TSLA,2016-03-08 00:00:00+00:00,202.6,207.5,202.2,203.5,3978722,202.6,207.5,202.2,203.5,3978722,0.0,1.0
TSLA,2016-03-09 00:00:00+00:00,208.72,209.3726,202.79,204.52,3208554,208.72,209.3726,202.79,204.52,3208554,0.0,1.0
TSLA,2016-03-10 00:00:00+00:00,205.18,213.29,200.671,210.0,5192523,205.18,213.29,200.671,210.0,5192523,0.0,1.0
TSLA,2016-03-11 00:00:00+00:00,207.5,209.42,205.33,207.93,3343077,207.5,209.42,205.33,207.93,3343077,0.0,1.0
TSLA,2016-03-14 00:00:00+00:00,215.15,216.72,210.64,212.65,4065706,215.15,216.72,210.64,212.65,4065706,0.0,1.0
TSLA,2016-03-15 00:00:00+00:00,218.34,218.97,211.5,214.27,3180452,218.34,218.97,211.5,214.27,3180452,0.0,1.0
TSLA,2016-03-16 00:00:00+00:00,221.93,222.58,217.02,218.0,3516703,221.93,222.58,217.02,218.0,3516703,0.0,1.0
TSLA,2016-03-17 00:00:00+00:00,226.38,228.5,220.0,221.47,3782891,226.38,228.5,220.0,221.47,3782891,0.0,1.0
TSLA,2016-03-18 00:00:00+00:00,232.74,234.48,228.06,229.1,4711793,232.74,234.48,228.06,229.1,4711793,0.0,1.0
TSLA,2016-03-21 00:00:00+00:00,238.32,239.88,235.0,235.34,5307822,238.32,239.88,235.0,235.34,5307822,0.0,1.0
TSLA,2016-03-22 00:00:00+00:00,234.24,238.99,232.558,237.21,4315988,234.24,238.99,232.558,237.21,4315988,0.0,1.0
TSLA,2016-03-23 00:00:00+00:00,222.58,234.73,222.03,232.37,4948841,222.58,234.73,222.03,232.37,4948841,0.0,1.0
TSLA,2016-03-24 00:00:00+00:00,227.75,228.8877,215.0,215.78,4960900,227.75,228.8877,215.0,215.78,4960900,0.0,1.0
TSLA,2016-03-28 00:00:00+00:00,230.26,234.81,225.0,231.61,3925685,230.26,234.81,225.0,231.61,3925685,0.0,1.0
TSLA,2016-03-29 00:00:00+00:00,230.13,232.38,225.33,229.89,4014330,230.13,232.38,225.33,229.89,4014330,0.0,1.0
TSLA,2016-03-30 00:00:00+00:00,226.89,235.5,226.5,235.09,4032982,226.89,235.5,226.5,235.09,4032982,0.0,1.0
TSLA,2016-03-31 00:00:00+00:00,229.77,237.42,225.01,229.34,8012872,229.77,237.42,225.01,229.34,8012872,0.0,1.0
TSLA,2016-04-01 00:00:00+00:00,237.59,247.9,233.25,244.825,15997509,237.59,247.9,233.25,244.825,15997509,0.0,1.0
TSLA,2016-04-04 00:00:00+00:00,246.99,252.12,243.64,249.12,13475327,246.99,252.12,243.64,249.12,13475327,0.0,1.0
TSLA,2016-04-05 00:00:00+00:00,255.47,256.56,240.0,240.5,9948699,255.47,256.56,240.0,240.5,9948699,0.0,1.0
TSLA,2016-04-06 00:00:00+00:00,265.42,267.74,253.45,253.97,11705479,265.42,267.74,253.45,253.97,11705479,0.0,1.0
TSLA,2016-04-07 00:00:00+00:00,257.2,269.34,254.51,266.45,8856171,257.2,269.34,254.51,266.45,8856171,0.0,1.0
TSLA,2016-04-08 00:00:00+00:00,250.07,260.82,248.0201,260.5,7363935,250.07,260.82,248.0201,260.5,7363935,0.0,1.0
TSLA,2016-04-11 00:00:00+00:00,249.92,258.99,245.3,251.0,9161693,249.92,258.99,245.3,251.0,9161693,0.0,1.0
TSLA,2016-04-12 00:00:00+00:00,247.82,251.8,243.63,249.5,5763208,247.82,251.8,243.63,249.5,5763208,0.0,1.0
TSLA,2016-04-13 00:00:00+00:00,254.53,255.5,247.33,248.51,4925595,254.53,255.5,247.33,248.51,4925595,0.0,1.0
TSLA,2016-04-14 00:00:00+00:00,251.86,256.839,251.0501,253.0,4132185,251.86,256.839,251.0501,253.0,4132185,0.0,1.0
TSLA,2016-04-15 00:00:00+00:00,254.51,254.6,249.12,251.31,3752366,254.51,254.6,249.12,251.31,3752366,0.0,1.0
TSLA,2016-04-18 00:00:00+00:00,253.88,258.31,251.66,252.23,4271362,253.88,258.31,251.66,252.23,4271362,0.0,1.0
TSLA,2016-04-19 00:00:00+00:00,247.37,254.3699,241.251,253.12,6357526,247.37,254.3699,241.251,253.12,6357526,0.0,1.0
TSLA,2016-04-20 00:00:00+00:00,249.97,253.66,241.5,246.26,5194051,249.97,253.66,241.5,246.26,5194051,0.0,1.0
TSLA,2016-04-21 00:00:00+00:00,248.29,250.9,246.91,248.99,2783059,248.29,250.9,246.91,248.99,2783059,0.0,1.0
TSLA,2016-04-22 00:00:00+00:00,253.75,254.0,245.71,248.89,3786327,253.75,254.0,245.71,248.89,3786327,0.0,1.0
TSLA,2016-04-25 00:00:00+00:00,251.82,257.38,250.76,253.01,3670348,251.82,257.38,250.76,253.01,3670348,0.0,1.0
TSLA,2016-04-26 00:00:00+00:00,253.74,255.73,249.39,252.05,3223839,253.74,255.73,249.39,252.05,3223839,0.0,1.0
TSLA,2016-04-27 00:00:00+00:00,251.47,255.0,249.4,252.75,3205808,251.47,255.0,249.4,252.75,3205808,0.0,1.0
TSLA,2016-04-28 00:00:00+00:00,247.71,253.43,247.44,249.85,2518990,247.71,253.43,247.44,249.85,2518990,0.0,1.0
TSLA,2016-04-29 00:00:00+00:00,240.76,248.43,237.81,248.14,5413787,240.76,248.43,237.81,248.14,5413787,0.0,1.0
TSLA,2016-05-02 00:00:00+00:00,241.8,243.19,234.82,241.5,3843935,241.8,243.19,234.82,241.5,3843935,0.0,1.0
TSLA,2016-05-03 00:00:00+00:00,232.32,238.91,231.62,237.36,4302222,232.32,238.91,231.62,237.36,4302222,0.0,1.0
TSLA,2016-05-04 00:00:00+00:00,222.56,234.46,220.4,230.29,8700459,222.56,234.46,220.4,230.29,8700459,0.0,1.0
